title,company,rating,location,salary,summary,description,postcode,city,annual,monthly,weekly,daily,hourly,type,min_salary,max_salary,avg_salary
 recruitment specialist,CAPCO,3.4,London,0,Proven experience in graduate recruitment is essential.Previous experience of graduate recruitment and running assessment centers.,"Joining Capco means joining an organisation that is committed to an inclusive working environment where you’re encouraged to #BeYourselfAtWork. We celebrate individuality and recognize that diversity and inclusion, in all forms, is critical to success. It’s important to us that we recruit and develop as diverse a range of talent as we can and we believe that everyone brings something different to the table – so we’d love to know what makes you different. Such differences may mean we need to make changes to our process to allow you the best possible platform to succeed, and we are happy to cater to any reasonable adjustments you may require. You will find the section to let us know of these at the bottom of your application form or you can mention it directly to your recruiter at any stage and they will be happy to help.We are/have:Experts in banking and payments, capital markets and wealth and asset managementDeep knowledge in financial services offering, including e.g., Finance, Risk and Compliance, Financial Crime, Core Banking etc.Committed to growing our business and hiring the best talent to help us get there.Focus on maintaining our nimble, agile and entrepreneurial culture.The roleThis is an excellent opportunity for an experienced Graduate Recruitment Specialist to join a growing company and take responsibility and ownership for the end-to-end recruitment within our Associate Talent Programme. Our award-winning Associate Programme is unlike a traditional graduate programme and has multiple intakes per year working closely with the business to understand supply and demand. You will be responsible for the other entry level programmes across data and engineering which we are also looking to revamp. Therefore, someone who has experience in the design and running of the interview process would be advantageous. In addition to this we are looking to drive out our Internship and Apprenticeship schemes so experience of this would be required. Ensuring that our processes are inclusive and focusing on the attraction of a diverse range of candidates are key elements of the role and our commitment to diversity & inclusion.You will work as part of a larger In-House team and are responsible for the whole recruitment process, from candidate resourcing through to offer stage, including the interview process, which will also include running assessment centres. The role demands a great deal of stakeholder involvement and engagement at various levels, as well as project management skills.There will also be the opportunity to get involved with various recruitment projects and help with some experienced hiring recruitment.Within this role there is scope to develop and grow within the team.You will also be responsible for:Development of end-to-end recruitment campaigns as required.Run Assessment centresExperience of running Internship and/or Apprenticeship schemes.Manage D&I Monitoring diversity within the entry level programmes and taking proactive steps to attract under-represented groupsPartnering with the business to come up with process improvements.Delivering successful recruitment campaigns against pre-determined KPIs.Developing social networking channels and promoting Capco as an employer of choice.It will be very useful if you have some or all the following skills and experience:Proven success in a recruitment role with extensive stakeholder managementProven experience in graduate recruitment is essential.Ability to deliver high volume direct hiring.Focus on diverse hiring at entry level.Previous experience of graduate recruitment and running assessment centersPrevious experience in an onsite / in-house roleHigh level of aptitude in oral and written communicationAn aptitude for problem solving and independent thinking.Able to work to multiple deadlines and multi-task.We offer:A work culture focused on innovation and creating lasting value for our clients and employees.Ongoing learning opportunities to help you acquire new skills or deepen existing expertise.A flat, non-hierarchical structure that will enable you to work with senior partners and directly with clients.A diverse, inclusive, meritocratic culture",,London,0,0,0,0,0,0,0,0,0
"data science (ml & ai) team intern/, london, 30k",Parity Professionals,4,London,30000 - 35000 ,"Parity Group Plc is excited to be partnered with an international fast-growing AI driven Fintech Start-up client, based in London who have the need for a Data…","Data Science (ML & AI) Team Intern/Graduate, London, 30KParity Group Plc is excited to be partnered with an international fast-growing AI driven Fintech Start-up client, based in London who have the need for a Data Science (Machine Learning and Artificial Intelligence) Team Intern or Graduate to join their team on a permanent basis.Role summaryWe are looking for a Data Science (Machine Learning and Artificial Intelligence) Team Intern or Graduate who is interested in building a career within the Data Science space, specifically in Machine Learning and Artificial Intelligence. This is an amazing opportunity to join an international team: currently 13 different nationalities in a team of 23 with offices in London, UAE, and Saudi.Essentials skillsHave a computer science degreeHave demonstrable knowledge of Python programming and APIsBe proactive and willing to learnIf this sounds like the role for you then feel free to hit apply or email me your CV directly for immediate consideration.Parity - Better Decisions: Better PeopleParity Professionals Ltd acts in the capacity of an Employment Agency when providing permanent recruitment services.We welcome applications from all sections of society and applicants will be considered on the basis of their suitability for the positionAt Parity, we are committed to protecting your privacy, we will process and hold your CV and use the information you have provided lawfully, and in accordance with our Terms and Conditions and our Privacy Policy which can be found at www.Parity.netJ1181_162453406419779",,London,1,0,0,0,0,10000,30000,35000,32500
" programme, tax consulting, guernsey",Deloitte,4,Guernsey,0,"From advising a FTSE 100 client on the Channel Island aspects of a transaction, to complex fund structuring and compliance to inheritance tax planning for high…","Basic informationLocationGuernseyService lineAudit & AssuranceDate published21-Jun-2021Req #3658Job descriptionProgramme OverviewOur Graduate Programme is more than a world-class training scheme, this a permanent job. It gives you a market-leading salary, benefits, a professional qualification, and endless opportunities to learn and progress. You'll work with clients from the start, on projects that have a genuine impact on their success.Requirements & QualificationsYou will need to have obtained or studying towards at least a 2:1 in any degree discipline, and have graduated by August 2021, as well as achieved at least 104 UCAS points (260 UCAS points pre-2017) for your A levels (or equivalent), at least a grade 4 (C) in English language and at least a grade 5 (B) in Maths in your GCSEs (or equivalent).Check our Learning and Development webpage for more information onProfessional Qualifications.Your opportunityIn the Channel Islands, we work with world renowned clients, both corporate and individual as well as fund and other investment institutions, helping them to navigate the ever-changing tax landscape.Guernsey and Jersey are truly global jurisdictions and we work on a broad range of projects, often with a strong international focus. From advising a FTSE 100 client on the Channel Island aspects of a transaction, to complex fund structuring and compliance to inheritance tax planning for high net worth individuals, our graduates benefit from exposure to a diverse array of projects from day one.Your professional experienceIn Tax Consulting You'll get to work with and learn from some of the most talented and experienced professionals in the industry. You'll be learning every day, from new tax legislation to technical skills, being proactive and adapting quickly to different types of work. You'll have the opportunity to work with FTSE 100 organisations, start-ups and private individuals, helping them solve some of the most complex issues their business is ever likely to face.You will attend The Tax Analyst Academy in your first weeks at Deloitte. During this time, you will get the opportunity to meet your peers and learn the soft skills and technical skills to operate as a tax professional from day one in the office.You will then participate in the Tax Analyst Development two year programme designed to prepare you for promotion to Consultant. The programme comprises of on the job learning, core training, and study for professional qualification training.WPFULL,SLTAXC, LOCCIECR",,Guernsey,0,0,0,0,0,0,0,0,0
/junior ruby developer,MV Commercial Ltd,,Livingston EH54 5DR,26000 - 28000 ,"Reporting to our head of development, you’ll be responsible for updating our suite of internal applications and websites, building, testing and developing new…","Role: Graduate/Junior Ruby DeveloperLocation: Livingston, ScotlandSalary:  £26,000-£28,000 DOEMV Commercial have an opening for a Junior Ruby on Rails developer to join one of the most successful commercial vehicle sales businesses in the UK. Due to our continued expansion, we require a Junior Ruby On Rails Developer to join our development team.The RoleReporting to our head of development, you’ll be responsible for updating our suite of internal applications and websites, building, testing and developing new and exciting features that’ll help power our company.EssentialsThe successful candidate must be able to demonstrate the following:Previous experience with Ruby & Ruby On Rails desired but previous experience with OOP languagePrevious experience with PostgreSQL or MySQLLinux experienceFront-end skills (JavaScript, HTML, CSS) would be a massive advantageTeam-player with excellent communication skills and a positive attitudeDesiredExperience with Sidekiq, Elasticsearch, Twilio, RSpec, TailwindCSSAPI and Microservice development skillsThe ideal candidate will be some who is not afraid to bring new ideas to the table. The company is constantly looking to improve and prides themselves in being forward thinking.If this role sounds interesting to you; please APPLY.Job Types: Full-time, PermanentSalary: £26,000.00-£28,000.00 per yearBenefits:On-site parkingSchedule:Monday to FridayWork remotely:No",EH54 5DR,Livingston ,1,0,0,0,0,10000,26000,28000,27000
administrator ,Morgan Ryder,,Middleton,30000,"This varied role would suit a recent graduate who is organised, confident and self motivated.This is a customer facing role- responsible for coordination, both…","Administrator (Graduate)up to £30,000 per annumMiddletonAn exciting opportunity has arisen for a graduate to join a leading manufacturer at their site, based in Middleton.This varied role would suit a recent graduate who is organised, confident and self motivated.This is a customer facing role- responsible for coordination, both internally and externally, of specific administrative aspects of sales activities such as new product development, offers management, document & samples flow, article creation/modification, promotional activities, life cycle management, and all this within a set of assigned customers.Develop relationships with key external customer contacts and internal stakeholders to guarantee the launch of products within the agreed conditions with the customers and with respect to all relevant legislation. Guarantee the management of events by making sure that these are evaluated on feasibility and internal impact.The Responsibilities of the Graduate Administrator will involve:Develop the Article creation form (phased volumes, timings, distribution spreads, definitions of the product…) Define the CPA (Critical Path Analysis).Translate the Product Brief, into a Project Plan with clear instructions to other processes involved (Account Management, Product Development, Production, Contract Management)Manage and follow up the complete Project Plan (from the start of the launch till the start of the events process),Request production samples and make sure samples arrive on time with customers.Management of bottle-neck situations in order to avoid any problem that prevents delivery according to plan, propose, communicate and follow up solution internally and externallyMake sure that events are evaluated on feasibility and internal impact before position taking with the customer.Management of specific component stocks with the production sites PLM and in direct with the customersManagement of the follow up of the events process and end of stocks until the end of the eventManage the phase out and synchronisation of products by making a plan based on agreements with customers, instructing all processes involved and following up the projects.The Key Requirements of the Graduate Administrator are:Graduate Calibre, Bachelor Degree or equivalent through experience (Required)Intermediate level ability in Microsoft Office Applications; Excel, PowerPoint and Word (Required)Project Management Skills: understand critical paths and importance of adherence to ensure timely launches (required).Able to develop working relationships with customers and with people from other areas of the business.Good verbal and written communication skillsAbility to plan and organise work, Logical reasoning, Commercial awareness, ability to handle conflictTo be considered for this role, click 'APPLY' today- or send a copy of your CV to Harriet@Morganryder.co.ukAt Morgan Ryder we can provide you with a full range of employment opportunities from short term and fixed term temporary vacancies to permanent positions.We recruit for companies that operate in the following industries: Food and Drink Manufacturers, FMCG, Packaging, Engineering, Automotive, Aerospace, Warehousing, Logistics, Waste Management, Petro Chemical, Pharmaceutical, Power & Renewable Energy.Please note that calls to and from the offices of Morgan Ryder Associates Ltd. may be monitored or recorded. This is to ensure compliance with regulatory procedures, record business transactions and for training purposes.",,Middleton,1,0,0,0,0,10000,30000,30000,30000
product design administrator,Corston Architectural Detail,,Calne SN11 9HN,25000 - 35000 ,We are looking for a graduate or someone with some post university experience.The role will report directly to the business owners.,"Title: Product Design Administrator Corston – www.corston.comThe company;At Corston - we make home renovations projects a little easier. The tactile parts of a home that you interact with everyday are really important, so we think they should be done right. Our aim is to make these individual products work together elegantly.The role;We are looking for someone that is passionate about Interiors, product design, engineering, and business. We are looking for a graduate or someone with some post university experience.This is a new role in a 30 member team providing support to Corston.com in a self-contained office in the grounds of the owner’s farm in Wiltshire. The business is growing extremely fast driven by great product design and a flexible structure. The role will report directly to the business owners.We are looking for someone with these skills;Sensible approach to problems, with a methodical and precise approach.Able to take on new problems and research solutions.Great administration and computer skills.A sense of business & costings.Responsibilities;As part of the vibrant design team you will be helping to bring new products to market. Tasks may include;Creating documents for suppliers and customers to communicate product information.Supplier sourcing & liaison including pricing.Helping with supplier communication, quotations, costings, product setup.Research projects.Job Types: Full-time, PermanentSalary: £25,000.00-£35,000.00 per yearBenefits:Company pensionEmployee discountOn-site parkingSchedule:Monday to FridayNo weekendsWork remotely:No",SN11 9HN,Calne ,1,0,0,0,0,10000,25000,35000,30000
 project coordinator,Clearview Intelligence Limited,,Milton Keynes MK13,25000,We are well respected and considered an authority and trusted advisor in the transport technology field with clients in both the public and private sectors.,"CompanyClearview Intelligence delivers innovative solutions that harness intelligence, inform decisions and influence behaviour, helping people make better journeys. Solutions that improve journey predictability, enhance safety, transform behaviour, reduce congestion and make parking easier.We are well respected and considered an authority and trusted advisor in the transport technology field with clients in both the public and private sectors. A relaxed yet professional company culture with a very low staff turnover. Our solutions are technically advanced and through extensive investment in R&D we remain a pioneer in our field.RoleTo assist with the coordination of Clearview’s Project Installations and site activities in an effective and timely manner including:Communicate job requirements to Clearview’s subcontractors and Engineers, ensuring a full understanding of all requirements is provided.Request project quotationsRequest and coordinate project updates.Receive updates and documentation sets from Field EngineersTo collate installation documentation as required by the P&O Manager, contracts and customers.Prepare works quotations.Create Purchase OrdersAttend weekly Operational Project Delivery meetingsPrepare and review project site surveys.Coordinate retrieval of Field Engineer Project documentation.Compile project specific site Method StatementsCompile project specific site Risk AssessmentsProvide support for internal team members to ensure the needs of the business are maintained, such as;Operations and Maintenance project DeliverySales SupportInstallations and Project DeliveryHSQE Support.Write and review risk assessments and method statements for site specific tasks and project operationsReview Sub Contractor RAMS to ensure compliance.Carry out administrative tasks as requested, in line with the company business procedures.Experience and ProgressionThe role would suit an individual who has experience or whom is keen to start working within a live operations delivery team, helping the successful and safe delivery of Clearview’s technical safety solutions.An interest to progress their experience with Projects or contracts management, gaining an understating of;Highways Works and associated RequirementsTechnologyRoad and Pedestrian Technology SolutionsConstruction Design ManagementProject Coordination and DeliveryAble to assist delivery of a project through to completion. They will be exposed with coordinating resource, equipment, and sub-contractors.The role requests an individual who is confident self-motivated and able to multitask. They should be confident to attend internal and external meetings and able to deal directly with customers or their representatives daily.Core SkillsEssentialMust have a strong passion for, and understanding of, technology (full product training will be provided)Excellent verbal communication skills - confident, professional and diplomaticAble to communicate technical features and benefits to non-technical users at all levelsA pragmatic, logical problem solver who is not afraid to seek assistanceCommercially minded, with the ability to empathise with customers whilst understanding the potential implications for our businessA team player who can also work on their own initiativeDesirableA background in Technical Sales, or Customer Support in a technology spacePrevious work experience with the public sectorPrevious product management/sales experienceEducated to degree level (business, marketing, engineering or technology related degree or equivalent professional qualification)Broad knowledge of the ITS/Transport/Road Safety sectorFull UK driving licenceReference ID: CIGTPCApplication deadline: 09/07/2021Job Types: Full-time, PermanentSalary: Up to £25,000.00 per yearBenefits:Company eventsCompany pensionOn-site parkingStore discountsSchedule:Monday to FridayWork remotely:Temporarily due to COVID-19",MK13,Milton,1,0,0,0,0,10000,25000,25000,25000
commercial  scheme,Pareto Law,3.5,Manchester,25000 - 40000 ,"High earning potential with OTE of £40,000 in Y1 (successful graduates are earning six figure salaries by the end of year 2).","Role: Commercial Graduate SchemeLocation: ManchesterRef J10661:MAN:GJ:CGSOur award winning, internationally renowned client needs graduates for a brand new team! They’re looking for graduates to join their dynamic office as Commercial Specialists. Analysing markets and maintaining strong client relationships, you’ll help to spearhead the exciting new direction that the organisation is taking. This varied role is perfect for the ambitious graduate!With an ever growing client base, the organisation requires a friendly individual to take ownership in managing client relationships and analysing market climes. You’ll adeptly evaluate market conditions in order to co-ordinate and broker significant business deals. The successful candidate will also be in regular contact with professionals from a variety of industries and sectors. As such, they will be highly organised, ensuring that projects are executed in an efficient, timely and profitable manner and that clients understand the full range of services that the organisation provides.A fantastic package awaits the successful candidate! A generous salary structure, lucrative incentive schemes and welcoming office atmosphere are a few select benefits offered by our client.You receive:A competitive basic salary of £25,000Meritocratic progression into Account and Senior Account Management positions25 days paid holiday, in addition to public holidaysHigh earning potential with OTE of £40,000 in Y1 (successful graduates are earning six figure salaries by the end of year 2)International travel/Company holidays (to return once safe)Private Health insurance/PensionYou:Educated to degree levelCommercial acumen and fantastic attention to detailExcellent interpersonal/communication skillsDriven and ambitiousPareto Law values diversity and promotes equality. No terminology in this advert is intended to discriminate against any of the protected characteristics that fall under the Equality Act 2010. We encourage and welcome applications from all sections of society and are more than happy to discuss reasonable adjustments and/or additional arrangements as required to support your application.If you require this job specification or to apply in an alternate format, please visit the Pareto website.",,Manchester,1,0,0,0,0,10000,25000,40000,32500
trainee research & operations executive,KANTAR,3.7,London,0,"The role comes with a clear career path supported by relevant training and development, allowing anyone keen to learn to progress from Graduate/Trainee to…","We go beyond the obvious, using intelligence, passion and creativity to inspire new thinking and shape the world we live in.To start a career that is out of the ordinary, please apply...Job DetailsDo you have a keen eye for detail? Love problem solving? Want to build a career in media research working with data?If so, then the role of Trainee Research & Operations Executive could be perfect for you!KANTARLeading the way in the exciting world of media research, we provide the most accurate and comprehensive intelligence on media consumption, performance and value. At Kantar’s Media division we power media choices. Our insight, expertise, and best in class data and services help clients to measure, monitor and select the most effective media.Kantar division is offering an exciting opportunity in their TGI team to start a career by gaining the technical expertise and experience of working with data. The role comes with a clear career path supported by relevant training and development, allowing anyone keen to learn to progress from Graduate/Trainee to Senior Executive level, while taking on more responsibility within the team.WHAT TRAINING DO WE OFFER?A job at Kantar offers lots of exciting development and growth opportunities:Kantar’s Graduate Development Programme offers regular training on variety of topics selected to support growth and development within the business. As part of this two-year programme you’ll have the opportunity to attend training sessions, network with colleagues across the business, take part in group projects, and have exposure to the company’s Senior Executives and Board.The TGI Executive Development Programme will guide your day-to-day development within the team, taking you from beginner to expert within first couple of years. You will be supported by the team, a mentor, and your manager, and equipped with the skills and knowledge necessary to build a successful career in an increasingly data driven environment.KEY RESPONSIBILITIES:Questionnaire designFieldwork managementLiaising with client success teamsProcessing data using bespoke softwareData cleaning through scriptingChecking and investigating data issuesScripting of online questionnairesCreation of the final deliverablesProject management of the surveys, including dealing with various stakeholdersCAPABILITIES:Educated to degree level in any discipline (preferred 2:1 minimum, supported by strong A-levels) or equivalent experienceExcellent logical thinking – ability to understand complex concepts, and draw conclusions by analysing available informationAbility to understand technology, and to learn how systems work – the team use a variety of tools built to support the highly engineered data building processIntermediate Excel skills (importing and formatting data, lookups, pivot tables, functions, conditional logic)Interest in working with dataKnowledge of foreign languages desirable (i.e. French, German, Spanish)JOIN US:At Kantar we have an integrated way of rewarding our people based around a simple, clear and consistent set of principles. Our approach helps to ensure we are market competitive and also to support a pay for performance culture, where your reward and career progression opportunities are linked to what you deliver.LocationLondon, Grays Inn RoadUnited KingdomKantar Rewards StatementAt Kantar we have an integrated way of rewarding our people based around a simple, clear and consistent set of principles. Our approach helps to ensure we are market competitive and also to support a pay for performance culture, where your reward and career progression opportunities are linked to what you deliver.We go beyond the obvious, using intelligence, passion and creativity to inspire new thinking and shape the world we live in. Apply for a career that’s out of the ordinary and join us.We want to create an equality of opportunity in a fair and supportive working environment where people feel included, accepted and are allowed to flourish in a space where their mental health and well being is taken into consideration.We want to create a more diverse community to expand our talent pool, be locally representative, drive diversity of thinking and better commercial outcomes.Kantar is the world’s leading data, insights and consulting company. We understand more about how people think, feel, shop, share, vote and view than anyone else. Combining our expertise in human understanding with advanced technologies, Kantar’s 30,000 people help the world’s leading organisations succeed and grow.",,London,0,0,0,0,0,0,0,0,0
environmental health officer /  environmental health...,STAFFORD BOROUGH COUNCIL,3.6,Stafford ST16,32234 - 35745 ,"Permanent, 37 hours per week, 1 post.Band I (SCP 28 – 32) £32,234 - £35,745 per annum (pay award pending).Please note that interviews will be conducted using…","Environmental Health Officer / Graduate Environmental Health Officer Post Reference: OCS106Permanent, 37 hours per week, 1 postBand I (SCP 28 – 32) £32,234 - £35,745 per annum (pay award pending)Essential Car User Allowance, Payment of Professional Fee, Flexible Working ArrangementsEnvironmental Health Officer / Graduate Environmental Health Officers Post Reference: OCS3072 years fixed term contract, 37 hours per week, 2 postsBand I (SCP 28 – 32) £32,234 - £35,745 per annum (pay award pending)Essential Car User Allowance, Payment of Professional Fee, Flexible Working ArrangementsWe are looking for either experienced Environmental Health Officers or newly qualified (or soon to qualify) Environmental Health Graduates to work within the Regulatory Services Team at Stafford Borough Council. If you would like to be part of a small, friendly but busy team carrying out Food Safety, Health and Safety, Environmental Pollution, Covid Secure and Statutory Nuisance functions then this opportunity may be just the challenge you are looking for. Your role will be focussed on ensuring that excellent regulatory and advisory services are provided for all businesses and residents based within our Borough.Stafford Borough is growing at an unprecedented rate and recent figures show more than £1.5 billion has been invested in, or planned for, the area. So far there has been the delivery of a £100 million town centre retail scheme, expansion of the Army’s Beacon Barracks, a £10 million Council funded leisure scheme, and thousands of new jobs created.This level of growth is set to continue with work underway on a £20 million Future High Street project for Stafford Town Centre, further investment at a new Business Park, a number of large housing schemes underway - and Stafford will be a hub station for HS2. We expect you to be actively involved in ensuring all these schemes meet appropriate regulatory standardsThe Council is a forward thinking authority, planning to meet the key challenges of this unprecedented growth. We are therefore seeking enthusiastic and highly motivated professionals to join us!Whether you are already experienced or just embarking upon your career as an Environmental Health professional you can look forward to working with a dedicated team of officers who strive to protect the community and support businesses.For an informal discussion about these posts please contact Lisa Harvey, Regulatory Services Group Manager, 07790 894524For further information and too apply, please visit our websitehttps://www.staffordbc.gov.uk/jobs-and-careersPlease note that interviews will be conducted using video conferencing software Microsoft Teams.Closing Date for applications: Sunday 4 July 2021Interviews will be held week commencing 19 July 2021Reference ID: OCS106 & OCS307Application Deadline: 04/07/2021Job Types: Full-time, Temporary, PermanentSalary: £32,234.00-£35,745.00 per yearBenefits:Bike to work schemeCompany pensionGym membershipSick payWellness programmesSchedule:Monday to FridayWork remotely:Temporarily due to COVID-19",ST16,Stafford,1,0,0,0,0,10000,32234,35745,33989.5
/junior mechanical engineer,Jackson Hogg,,Gateshead NE11 9DJ,30000,Jackson Hogg is currently recruiting for a Graduate/Junior Mechanical Engineer who will be involved in the delivery of high-profile projects in relation to the…,"Jackson Hogg is a leading specialist recruitment and outsourced people services partner focusing on Science, Technology, Engineering and Manufacturing industries, internationally. Our team of discipline experts provide high quality, innovative recruitment and people services solutions to organisations seeking to find, train and retain exceptional talent across all functions. We offer a personal and tailored service that ensures you secure the right people for your organisation for the long term.Jackson Hogg is currently recruiting for a Graduate/Junior Mechanical Engineer who will be involved in the delivery of high-profile projects in relation to the design, manufacture, and installation of a hygienic, sterile processing sites across sectors such as: life sciences, bio-medical, healthcare, personal care and cosmetics, food and industrial manufacturing sectors.Working within an SME environment, the position requires someone who is engineering minded with an ability to communicate well at all levels.Responsibilities may include, but not be limited to;Design of fabricated, welded equipment specifically of piping and vessels.Working with and understanding of CAD and FEA.Inspection of productsCreation of documentation e.g. BOMRequirements:Relevant Degree Qualification – Degree in Mechanical Engineering or similar technical discipline.Would consider HND/HNC with relevant fabrication, welding and piping experience.Enthusiastic and keen individual looking for an opportunity to development and progress.Is well organised and demonstrates strong communication skills.Has the ability to work in a fast-paced challenging environment.This is an exciting opportunity to join a growing design and build engineering business that has a £100million pipeline of exciting diverse projects over the next few years.If you’re interested in this role please apply below or contact lily.campbell-hewson @ jacksonhogg .comJob Types: Full-time, PermanentSalary: Up to £30,000.00 per yearWork remotely:No",NE11 9DJ,Gateshead ,1,0,0,0,0,10000,30000,30000,30000
 engineer,PCC Consultants Ltd,,Lincoln LN6 9PF,20000 - 30000 ,"The successful applicant will show a wish to develop the practice with the help of the existing business owners.Job Types: Full-time, Permanent.","Company descriptionWe are a small consultancy practice with an excellent reputation providing consultancy services tyhroughout the UK.Job descriptionWe require a self-motivated graduate engineer nearing chartered status to join our consultancy practice. Initially you will be working under supervision working on small and medium sized design projects. We will encourage the successful applicant to achieve charterd status as soon as possible and to work with the minimum of superviosion and to undertake on-site structural assessments of existing buildings. We deal with a broad range of projects covering structural design, building surveys, civil andgineering design and drainage, and the applicant should show a willingness to deal with the full range of our project portfolio.The successful applicant will show a wish to develop the practice with the help of the existing business owners. The candidate will also be encouraged to build working relationships with clients and to develop their own client base and working relationships with architects and developers.The candidate should be able to use our design software including Tekla Structural Designer, Tedds and Master Series, as well as a good working knowledge of Autocad.The successful applicant will be encouraged to take a role in external organisations that will raise his/her profile in the community both for personal development and to become a respected professional within the local area.Reference ID: PCC J1Job Types: Full-time, PermanentSalary: £20,000.00-£30,000.00 per yearBenefits:Casual dressCompany pensionFlexible scheduleOn-site parkingWork from homeSchedule:Monday to FridayNo weekendsCOVID-19 considerations:The office is restricted to those parties that have been vaccinated albeit that the successful candidate may not have been vaccinated. The use of normal Covid precautions is required when undertaking external site visits.Work remotely:Temporarily due to COVID-19",LN6 9PF,Lincoln ,1,0,0,0,0,10000,20000,30000,25000
trainee research & operations executive,KANTAR,3.7,London,0,"The role comes with a clear career path supported by relevant training and development, allowing anyone keen to learn to progress from Graduate/Trainee to…","We go beyond the obvious, using intelligence, passion and creativity to inspire new thinking and shape the world we live in.To start a career that is out of the ordinary, please apply...Job DetailsDo you have a keen eye for detail? Love problem solving? Want to build a career in media research working with data?If so, then the role of Trainee Research & Operations Executive could be perfect for you!KANTARLeading the way in the exciting world of media research, we provide the most accurate and comprehensive intelligence on media consumption, performance and value. At Kantar’s Media division we power media choices. Our insight, expertise, and best in class data and services help clients to measure, monitor and select the most effective media.Kantar division is offering an exciting opportunity in their TGI team to start a career by gaining the technical expertise and experience of working with data. The role comes with a clear career path supported by relevant training and development, allowing anyone keen to learn to progress from Graduate/Trainee to Senior Executive level, while taking on more responsibility within the team.WHAT TRAINING DO WE OFFER?A job at Kantar offers lots of exciting development and growth opportunities:Kantar’s Graduate Development Programme offers regular training on variety of topics selected to support growth and development within the business. As part of this two-year programme you’ll have the opportunity to attend training sessions, network with colleagues across the business, take part in group projects, and have exposure to the company’s Senior Executives and Board.The TGI Executive Development Programme will guide your day-to-day development within the team, taking you from beginner to expert within first couple of years. You will be supported by the team, a mentor, and your manager, and equipped with the skills and knowledge necessary to build a successful career in an increasingly data driven environment.KEY RESPONSIBILITIES:Questionnaire designFieldwork managementLiaising with client success teamsProcessing data using bespoke softwareData cleaning through scriptingChecking and investigating data issuesScripting of online questionnairesCreation of the final deliverablesProject management of the surveys, including dealing with various stakeholdersCAPABILITIES:Educated to degree level in any discipline (preferred 2:1 minimum, supported by strong A-levels) or equivalent experienceExcellent logical thinking – ability to understand complex concepts, and draw conclusions by analysing available informationAbility to understand technology, and to learn how systems work – the team use a variety of tools built to support the highly engineered data building processIntermediate Excel skills (importing and formatting data, lookups, pivot tables, functions, conditional logic)Interest in working with dataKnowledge of foreign languages desirable (i.e. French, German, Spanish)JOIN US:At Kantar we have an integrated way of rewarding our people based around a simple, clear and consistent set of principles. Our approach helps to ensure we are market competitive and also to support a pay for performance culture, where your reward and career progression opportunities are linked to what you deliver.LocationLondon, Grays Inn RoadUnited KingdomKantar Rewards StatementAt Kantar we have an integrated way of rewarding our people based around a simple, clear and consistent set of principles. Our approach helps to ensure we are market competitive and also to support a pay for performance culture, where your reward and career progression opportunities are linked to what you deliver.We go beyond the obvious, using intelligence, passion and creativity to inspire new thinking and shape the world we live in. Apply for a career that’s out of the ordinary and join us.We want to create an equality of opportunity in a fair and supportive working environment where people feel included, accepted and are allowed to flourish in a space where their mental health and well being is taken into consideration.We want to create a more diverse community to expand our talent pool, be locally representative, drive diversity of thinking and better commercial outcomes.Kantar is the world’s leading data, insights and consulting company. We understand more about how people think, feel, shop, share, vote and view than anyone else. Combining our expertise in human understanding with advanced technologies, Kantar’s 30,000 people help the world’s leading organisations succeed and grow.",,London,0,0,0,0,0,0,0,0,0
